Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 4, Id предмета: 5, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 4, Id предмета: 5, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 4, Id предмета: 5, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 6, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 6, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 6, Случайное число: 3
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 7, Случайное число: 1
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 7, Случайное число: 2
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 3
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 1
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 2
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 3
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 1
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 2
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 3
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 1
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 2
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 3
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 1
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 2
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 8, Случайное число: 3
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 1
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 2
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 3
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 6, Случайное число: 1
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 8, Случайное число: 2
Номер группы: 2119, Дата: 28-04-2024, Id группы: 7, Id предмета: 8, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 6, Id предмета: 7, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 8, Id предмета: 10, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 8, Id предмета: 10, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 8, Id предмета: 10, Случайное число: 3
Номер группы: 1120, Дата: 28-04-2024, Id группы: 9, Id предмета: 11, Случайное число: 1
Номер группы: 1120, Дата: 28-04-2024, Id группы: 9, Id предмета: 11, Случайное число: 2
Номер группы: 1120, Дата: 28-04-2024, Id группы: 9, Id предмета: 11, Случайное число: 3
Номер группы: 2129, Дата: 28-04-2024, Id группы: 6, Id предмета: 9, Случайное число: 1
Номер группы: 2129, Дата: 28-04-2024, Id группы: 6, Id предмета: 9, Случайное число: 2
Номер группы: 2129, Дата: 28-04-2024, Id группы: 6, Id предмета: 9, Случайное число: 3
